number,name,link,image,position,club,birthplace,height,mv,age
,Sercan Güvenisik,367,https://img.a.transfermarkt.technology/portrait/big/367-1605730075.jpg,Centre-Forward,,Ankara,,,42
,Deniz Baris,755,https://img.a.transfermarkt.technology/portrait/big/g_h_s_755_36_2008_1.jpg,Centre-Back,,Erzincan,,,45
,Kemal Halat,1091,https://img.a.transfermarkt.technology/portrait/big/1091-1571140480.jpg,Centre-Back,,Tunceli,185,,51
,Mujdat Karagöz,1347,https://img.a.transfermarkt.technology/portrait/big/1347-1641917995.jpg,Left Midfield,SV Straß,Giresun,177,,46
,Alaattin Tosun,2617,https://img.a.transfermarkt.technology/portrait/big/2617-1540917731.jpeg,Defensive Midfield,,Trabzon,,,38
,Hayrettin Yildiz,2675,https://img.a.transfermarkt.technology/portrait/big/R_b_s_2675_2005_1.jpg,Centre-Back,,Bursa,,,52
,Baykal Bellusci,2873,https://img.a.transfermarkt.technology/portrait/big/2873-1487113627.jpg,Defensive Midfield,,İstanbul,,,39
,Tolunay Kafkas,3011,https://img.a.transfermarkt.technology/portrait/big/3011-1581949172.jpg,Defensive Midfield,,Ankara,188,,54
,Hakan Sükür,3363,https://img.a.transfermarkt.technology/portrait/big/3363-1461241499.jpg,Centre-Forward,,Sakarya,191,,51
,Arif Erdem,3377,https://img.a.transfermarkt.technology/portrait/big/3377-1595580738.jpg,Centre-Forward,,İstanbul,,,50
,Emre Asik,3379,https://img.a.transfermarkt.technology/portrait/big/3379-1626165463.jpg,Centre-Back,,Bursa,183,,48
,Bülent Korkmaz,3380,https://img.a.transfermarkt.technology/portrait/big/3380-1537453263.jpg,Centre-Back,,Malatya,181,,53
,Alpay Özalan,3504,https://img.a.transfermarkt.technology/portrait/big/3504-1598537408.jpg,Centre-Back,,İzmir,,,49
,Tugay Kerimoglu,3703,https://img.a.transfermarkt.technology/portrait/big/3703-1541420792.jpg,Defensive Midfield,,Trabzon,,,52
,Arif Karaoglan,3963,https://img.a.transfermarkt.technology/portrait/big/3963-1486305581.jpg,Right Winger,,Gaziantep,,,36
,Kenan Durmusoglu,3967,,Defensive Midfield,,İzmir,,,49
,Rüstü Recber,4077,https://img.a.transfermarkt.technology/portrait/big/4077-1598535656.jpg,Goalkeeper,,Antalya,187,,49
,Fatih Sonkaya,4612,https://img.a.transfermarkt.technology/portrait/big/c_K_s_4612_2007_1.jpg,Right-Back,,Erzurum,,,41
,Oktay Derelioglu,4752,https://img.a.transfermarkt.technology/portrait/big/s_Q_oderelioglu.jpg,Centre-Forward,,İstanbul,,,46
,Faruk Atalay,4962,https://img.a.transfermarkt.technology/portrait/big/4962-1581797984.jpeg,Attacking Midfield,,Trabzon,176,,41
,Suat Türker,5032,https://img.a.transfermarkt.technology/portrait/big/s_5032_108_2010_1.jpg,Centre-Forward,,Bayburt,,,46
,Emre Belözoglu,5782,https://img.a.transfermarkt.technology/portrait/big/5782-1603890279.jpeg,Central Midfield,,İstanbul,170,,42
,Okan Buruk,5791,https://img.a.transfermarkt.technology/portrait/big/5791-1418904810.jpg,Right Midfield,,İstanbul,169,,48
,Mehmet Polat,6101,https://img.a.transfermarkt.technology/portrait/big/x_L_s_6101_2008_1.jpg,Centre-Back,,Gaziantep,178,,44
,Hasan Sas,6102,https://img.a.transfermarkt.technology/portrait/big/6102-1414135834.jpg,Right Winger,,Adana,176,,46
,Ender Alkan,6112,https://img.a.transfermarkt.technology/portrait/big/f_j_s_6112_2007_1.jpg,Attacking Midfield,,Sivas,180,,45
,Okan Yilmaz,6113,https://img.a.transfermarkt.technology/portrait/big/6113-1609251913.jpeg,Centre-Forward,,Bursa,178,,44
,Ömer Kilic,6115,,Right-Back,,Ordu,177,,50
,Nihat Kahveci,6569,https://img.a.transfermarkt.technology/portrait/big/6569-1598619570.jpg,Centre-Forward,,İstanbul,175,,42
,Fatih Akyel,6857,https://img.a.transfermarkt.technology/portrait/big/s_6857_123_2013_07_25_1.jpg,Right-Back,,İstanbul,180,,44
,Orhan Ak,6860,https://img.a.transfermarkt.technology/portrait/big/6860-1533507381.jpeg,Centre-Back,,Sakarya,179,,42
,Göksel Gencer,6865,https://img.a.transfermarkt.technology/portrait/big/H_Q_s_6865_2005_1.jpg,Goalkeeper,,Konya,186,,48
,Cihan Haspolatli,6866,https://img.a.transfermarkt.technology/portrait/big/6866-1554045663.jpeg,Defensive Midfield,,Diyarbakır,184,,42
